iter	Logloss
178	0.3026089491
179	0.3025487312
180	0.3024502644
181	0.3024072423
182	0.3023772092
183	0.3023370201
184	0.3022596796
185	0.3022371723
186	0.3021966138
187	0.302174835
188	0.302107201
189	0.3020379694
190	0.3019752171
191	0.3019193887
192	0.3018771584
193	0.3018547157
194	0.3018183048
195	0.3017449393
196	0.3017328836
197	0.301680423
198	0.3016726239
199	0.3016461961
200	0.3016330646
201	0.3016102967
202	0.3015717919
203	0.3015351239
204	0.3015072529
205	0.3014556688
206	0.301419779
207	0.3013989678
208	0.3013396635
209	0.3013024766
210	0.3012697815
211	0.3012283496
212	0.301189351
213	0.3011801417
214	0.3011391124
215	0.3010914867
216	0.3010765181
217	0.301049018
218	0.3010466569
219	0.3009836853
220	0.300955788
221	0.3009090164
222	0.3008333933
223	0.30083326
224	0.3007709045
225	0.3007226712
226	0.3006787448
227	0.3006513895
228	0.3006209588
229	0.3005861062
230	0.3005359251
231	0.3005041372
232	0.300464487
233	0.3004302098
234	0.30037895
235	0.3003249033
236	0.3002593745
237	0.30021707
238	0.3001471887
239	0.3001063237
240	0.3000752445
241	0.3000283963
242	0.2999985309
243	0.2999728051
244	0.2999228428
245	0.2998682747
246	0.2998235387
247	0.2998088752
248	0.299756979
249	0.2997293854
250	0.2996697431
251	0.2996275474
252	0.2995933819
253	0.2995691126
254	0.2995379229
255	0.2995040717
256	0.2994801187
257	0.2994567221
258	0.2993931002
259	0.2993382091
260	0.2992763365
261	0.2992735269
262	0.2992272294
263	0.2991813544
264	0.2991770276
265	0.2991405357
266	0.2991325764
267	0.2990949343
268	0.2990349184
269	0.298989112
270	0.2989375963
271	0.2988960612
272	0.2988591215
273	0.2988081199
274	0.2987777753
275	0.2987425305
276	0.298641057
277	0.2986099488
278	0.2985796792
279	0.2985354537
280	0.2985001519
281	0.298462282
282	0.2984113698
283	0.2983726431
284	0.2983202164
285	0.2983030117
286	0.2982536537
287	0.2982232485
288	0.2982212433
289	0.2981721247
290	0.2981009429
291	0.2980701628
292	0.2980445697
293	0.2980119947
294	0.2979861539
295	0.2979642812
296	0.2979270433
297	0.2978094448
298	0.2977724813
299	0.2977311718
300	0.2976806789
301	0.2976254347
302	0.2975807839
303	0.2975111406
304	0.2974570472
305	0.2973950462
306	0.2973928559
307	0.2973751922
308	0.29732601
309	0.2972753501
310	0.2972290669
311	0.2971829659
312	0.2971188294
313	0.2970721591
314	0.297012461
315	0.2969654718
316	0.2968930632
317	0.2968745027
318	0.2968520096
319	0.296776347
320	0.2967470634
321	0.2967259944
322	0.2966945402
323	0.2966283665
324	0.296576309
325	0.2965741525
326	0.2965345106
327	0.2965114343
328	0.2964957584
329	0.2964646371
330	0.2964147929
331	0.2963641515
332	0.2963251013
333	0.2963042689
334	0.2962691824
335	0.2962232258
336	0.2962025564
337	0.2961610799
338	0.2961232427
339	0.2961130509
340	0.2960558854
341	0.295992704
342	0.2959422315
343	0.2958867798
344	0.2958632636
345	0.295826248
346	0.2957795554
347	0.2957269123
348	0.2956847868
349	0.295641192
350	0.2955887959
351	0.2955400008
352	0.2954955505
353	0.2954722365
354	0.295424391
355	0.2953577216
356	0.2953030853
357	0.2951965934
358	0.295141161
359	0.2950746624
360	0.2950291469
361	0.2949923046
362	0.294943857
363	0.294877499
364	0.2948088664
365	0.2947380414
366	0.2946655997
367	0.2945793804
368	0.2945150825
369	0.294450978
370	0.2943922972
371	0.2943137661
372	0.2942507985
373	0.2941851705
374	0.294155519
375	0.2941158784
376	0.294069492
377	0.2940090081
378	0.293972297
379	0.2939249066
380	0.2938623564
381	0.2937168589
382	0.2936659055
383	0.2935909494
384	0.2935321179
385	0.2934841261
386	0.2934338445
387	0.2933776443
388	0.2933342967
389	0.2932740801
390	0.2932178919
391	0.293181666
392	0.2931266643
393	0.2930609941
394	0.2930091897
395	0.2929413716
396	0.292894194
397	0.2928541375
398	0.2928009371
399	0.2927404458
400	0.2926529263
401	0.2926055085
402	0.2925361144
403	0.2924986844
404	0.2924555623
405	0.2923872644
406	0.2923374579
407	0.2922735963
408	0.2922038198
409	0.2921803289
410	0.2921091747
411	0.2920541617
412	0.2919789265
413	0.2919307414
414	0.29187181
415	0.2918105618
416	0.2917594937
417	0.2917062881
418	0.291645806
419	0.2915838525
420	0.2915465297
421	0.2914857428
422	0.2914217335
423	0.2913704752
424	0.2913075606
425	0.291263881
426	0.2912117562
427	0.2911539179
428	0.291114304
429	0.2910630056
430	0.2910041984
431	0.290946689
432	0.2909113076
433	0.2908623013
434	0.290813916
435	0.290780701
436	0.2907193186
437	0.2906606591
438	0.2905964831
439	0.290493432
440	0.2904115436
441	0.2903425722
442	0.2902940862
443	0.2902449718
444	0.29018569
445	0.2901050928
446	0.2900444006
447	0.2899958658
448	0.2899332246
449	0.2898738269
450	0.2898416492
451	0.2897830357
452	0.2897249148
453	0.2896623984
454	0.2895951897
455	0.289567402
456	0.2895220063
457	0.2894624127
458	0.2893630144
459	0.2892958749
460	0.2892347213
461	0.2891772216
462	0.2891147789
463	0.2890724727
464	0.2890010414
465	0.288951585
466	0.2888974206
467	0.2888297278
468	0.2887765687
469	0.2887165773
470	0.2886410351
471	0.2885741925
472	0.2885272389
473	0.2884642964
474	0.2884172256
475	0.2883591295
476	0.2883083865
477	0.2882492445
478	0.2882319459
479	0.2881863989
480	0.2881558653
481	0.2881013983
482	0.2880571784
483	0.2880336772
484	0.2880124813
485	0.2879551394
486	0.2878919609
487	0.2878440421
488	0.2877982626
489	0.2877423463
490	0.2876795218
491	0.2876212229
492	0.2875716425
493	0.2874993335
494	0.2874545496
495	0.287429113
496	0.2873743121
497	0.2873100844
498	0.2872647018
499	0.2871994812
500	0.2871463278
501	0.2871144962
502	0.2870500014
503	0.2869975933
504	0.2869388997
505	0.2868856777
506	0.2868394046
507	0.2867894094
508	0.2867427292
509	0.2866806039
510	0.2866451776
511	0.2866091302
512	0.2865560348
513	0.2865009855
514	0.2864424817
515	0.286380209
516	0.2863274377
517	0.2863142413
518	0.2862730721
519	0.2862400466
520	0.2861777269
521	0.2861187686
522	0.2860719931
523	0.2860151704
524	0.2859735215
525	0.2859313603
526	0.2858855825
527	0.285827339
528	0.285811008
529	0.2857480459
530	0.2857002027
531	0.2856441466
532	0.285607157
533	0.2855539676
534	0.2855247969
535	0.2854720516
536	0.2854263495
537	0.285386058
538	0.2853331448
539	0.2852713952
540	0.2852137857
541	0.2851554066
542	0.2850974209
543	0.2850570797
544	0.2849899333
545	0.2849251515
546	0.2849030315
547	0.28484185
548	0.2847873414
549	0.2847326666
550	0.2847047213
551	0.284665288
552	0.2846221303
553	0.2845523113
554	0.2844961235
555	0.2844500241
556	0.2844096323
557	0.2843584641
558	0.2842844942
559	0.2842369177
560	0.2842143571
561	0.284161766
562	0.2841227773
563	0.2840667775
564	0.2839869362
565	0.2839448564
566	0.2839125527
567	0.2838466878
568	0.2837939764
569	0.2837422566
570	0.2836922826
571	0.2836415948
572	0.2835815209
573	0.2835076615
574	0.2834599869
575	0.2833850146
576	0.2833362284
577	0.2832911775
578	0.2832420492
579	0.283191969
580	0.2831365373
581	0.2830614987
582	0.2830063058
583	0.2829604877
584	0.2829069691
585	0.2828705204
586	0.2828070074
587	0.2827566969
588	0.282684615
589	0.2826435369
590	0.2825775967
591	0.2825461726
592	0.2824627791
593	0.2823836606
594	0.2823308034
595	0.2822709581
596	0.2821947777
597	0.2821478295
598	0.2821070482
599	0.2820367005
600	0.2820101686
601	0.2819574634
602	0.2819225999
603	0.2818428282
604	0.2817816992
605	0.2817274868
606	0.2816904073
607	0.2816460461
608	0.2815897949
609	0.2815311078
610	0.2814893258
611	0.2813873056
612	0.2813437511
613	0.2812795865
614	0.2812292838
615	0.2811785019
616	0.2811056622
617	0.2810581231
618	0.2810093907
619	0.2809463355
620	0.2808837378
621	0.2808379286
622	0.2807826281
623	0.2807417408
624	0.2807089267
625	0.2806709415
626	0.2806172353
627	0.280546488
628	0.280503056
629	0.2804401067
630	0.2803715054
631	0.2803195917
632	0.2802828491
633	0.2802169958
634	0.2801605926
635	0.2801123583
636	0.2800507181
637	0.2799637009
638	0.2799043562
639	0.2798645278
640	0.2798025758
641	0.2797440874
642	0.2796720858
643	0.2796011542
644	0.2795501084
645	0.2794836687
646	0.2794484762
647	0.2794086777
648	0.2793586164
649	0.2793151471
650	0.2792582166
651	0.2791973781
652	0.2791092678
653	0.2790816056
654	0.2790320892
655	0.2789311923
656	0.2788937877
657	0.2788747937
658	0.2788169802
659	0.2787771742
660	0.2787241184
661	0.2786708542
662	0.2786308755
663	0.2785720459
664	0.2784893718
665	0.2784401787
666	0.2783744251
667	0.2783280108
668	0.2782560995
669	0.2782103024
670	0.2781160088
671	0.2780628571
672	0.2780021317
673	0.2779370459
674	0.2778993816
675	0.2778644236
676	0.2778072086
677	0.2777560788
678	0.2777048406
679	0.2776636205
680	0.2776085363
681	0.277537083
682	0.2774844307
683	0.2774261754
684	0.2773816479
685	0.2773362081
686	0.2772720063
687	0.2772178528
688	0.2771627276
689	0.2771250117
690	0.2770754431
691	0.2770373511
692	0.2769927915
693	0.2769150372
694	0.2768664022
695	0.2768245604
696	0.2767733578
697	0.2767321414
698	0.2766976045
699	0.2766413104
700	0.2766095926
701	0.2765618992
702	0.2765163697
703	0.2764446944
704	0.2763959245
705	0.2763504759
706	0.2763024138
707	0.2762650676
708	0.2762093636
709	0.2761503642
710	0.2760996149
711	0.2760622304
712	0.2760050832
713	0.2759575687
714	0.2759229321
715	0.2758729665
716	0.27583165
717	0.2757856846
718	0.2757324738
719	0.2756516742
720	0.2756120587
721	0.2755675553
722	0.2755428446
723	0.275481744
724	0.2754496518
725	0.2754029335
726	0.2753300124
727	0.2752808571
728	0.275249766
729	0.2751805717
730	0.2751225384
731	0.2750705244
732	0.2750232985
733	0.2749589479
734	0.2749172707
735	0.2748774662
736	0.2748296965
737	0.2747788661
738	0.2747353672
739	0.2746943498
740	0.2746512529
741	0.2746115386
742	0.2745622812
743	0.2745134037
744	0.2744730746
745	0.2744298863
746	0.2743882233
747	0.2743322302
748	0.2742501455
749	0.2741881881
750	0.2741414812
751	0.2740943311
752	0.2740439462
753	0.2739948578
754	0.2739155557
755	0.2738855259
756	0.273848496
757	0.2737951063
758	0.2737545077
759	0.2737031667
760	0.2736659946
761	0.2736304244
762	0.2735819924
763	0.2735466362
764	0.2735259634
765	0.2734506522
766	0.2733861795
767	0.2733375272
768	0.2733166195
769	0.2732734921
770	0.2732269332
771	0.2731784819
772	0.2731153066
773	0.2730639946
774	0.2729983743
775	0.2729470154
776	0.2729314074
777	0.2728966422
778	0.2728454768
779	0.2728041123
780	0.2727579054
781	0.2726979964
782	0.2726222008
783	0.2725770725
784	0.2725329809
785	0.2724766447
786	0.2724268051
787	0.2723747287
788	0.2723169477
789	0.2722613209
790	0.2722236224
791	0.2721967547
792	0.2721501317
793	0.2720801189
794	0.2720179158
795	0.2719757725
796	0.2719129097
797	0.2718550855
798	0.271809572
799	0.2717499787
800	0.2717160818
801	0.2716756552
802	0.2716183313
803	0.2715726212
804	0.2715075871
805	0.271460762
806	0.2714187337
807	0.2713842016
808	0.2713340714
809	0.2712968922
810	0.2712220836
811	0.2711647272
812	0.2711210991
813	0.2710653993
814	0.2709957247
815	0.2709399625
816	0.2708952798
817	0.2708688819
818	0.2708174749
819	0.270759339
820	0.2707386598
821	0.2706393925
822	0.2706204138
823	0.2705595189
824	0.2705030551
825	0.2704491834
826	0.2703659827
827	0.2703035842
828	0.2702697891
829	0.2702326647
830	0.2701843814
831	0.2701466922
832	0.270098515
833	0.2700613034
834	0.2700292155
835	0.2699674205
836	0.2699200582
837	0.2698678881
838	0.2698181748
839	0.2697515451
840	0.2697236224
841	0.2696687101
842	0.269622187
843	0.26958631
844	0.2695416551
845	0.2694863516
846	0.2694188366
847	0.2693859793
848	0.2693249016
849	0.2692815777
850	0.2692461257
851	0.2692016867
852	0.2691772681
853	0.2691379824
854	0.269073097
855	0.2690498232
856	0.2689916713
857	0.2689408622
858	0.2689095822
859	0.2688802422
860	0.2688231013
861	0.2687743542
862	0.2687347357
863	0.2686917463
864	0.2686479121
865	0.2686161236
866	0.2685385107
867	0.2684632396
868	0.2683989106
869	0.2683404414
870	0.2682769917
871	0.2682038023
872	0.268163392
873	0.2681154152
874	0.2680442756
875	0.268004165
876	0.2679721892
877	0.2679269437
878	0.2678801965
879	0.2678540282
880	0.2677961085
881	0.2677730036
882	0.2677166704
883	0.2676846976
884	0.2676451265
885	0.2675830475
886	0.267517027
887	0.2674481734
888	0.2674004621
889	0.2673397
890	0.2672884071
891	0.267249529
892	0.2672032708
893	0.2671483245
894	0.2671160019
895	0.2670926747
896	0.2670661383
897	0.2670242983
898	0.2669716086
899	0.2669234795
900	0.2668851895
901	0.2668197322
902	0.2667720465
903	0.2667188558
904	0.2666808855
905	0.2666262687
906	0.266568858
907	0.2665349313
908	0.2664708013
909	0.2664400125
910	0.26638542
911	0.2663389918
912	0.2662972946
913	0.2662342825
914	0.266172358
915	0.2661239353
916	0.2660810063
917	0.2660430843
918	0.2659976732
919	0.2659418154
920	0.2658882462
921	0.2658583227
922	0.2658083084
923	0.2657867055
924	0.2657571602
925	0.2657134485
926	0.2656707057
927	0.2656158171
928	0.2655630606
929	0.2655099989
930	0.2654815859
931	0.2654266014
932	0.2653818491
933	0.2653172561
934	0.2652975481
935	0.2652516142
936	0.2652091149
937	0.2651714067
938	0.2651296062
939	0.2650834705
940	0.2650404824
941	0.2650032732
942	0.2649453338
943	0.2648827515
944	0.2648165707
945	0.2647484915
946	0.2647258181
947	0.2646746819
948	0.2646240989
949	0.2645827743
950	0.264533376
951	0.2644904972
952	0.2644483215
953	0.264408316
954	0.264379004
955	0.2643143165
956	0.2642925677
957	0.2642552581
958	0.2641959405
959	0.2641486284
960	0.2640943607
961	0.2640544329
962	0.2640152635
963	0.2639507577
964	0.2639084757
965	0.2638682058
966	0.2638252703
967	0.2637598572
968	0.2637008988
969	0.2636440363
970	0.2636114818
971	0.2635486
972	0.2635159593
973	0.263464583
974	0.2634360739
975	0.2634074981
976	0.2633553051
977	0.2633122784
978	0.2632609589
979	0.2632303705
980	0.2631790819
981	0.263142053
982	0.2631029135
983	0.263072185
984	0.2630243745
985	0.2629487565
986	0.2628903122
987	0.2628506656
988	0.2627846041
989	0.2627205279
990	0.262663232
991	0.2626329723
992	0.2625924054
993	0.2625451196
994	0.2625090448
995	0.2624513996
996	0.2624200504
997	0.2623730457
998	0.2623504309
999	0.2623086562
